Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,1,1,0,0,4,2,2,1,1
1119.0,7,6,4,4,0,1,3,1,1
1316.0,1,1,0,0,4,2,2,1,1
1452.0,6,8,1,1,3,0,1,0,1
1453.0,6,8,1,1,3,0,1,0,1
1454.0,4,4,3,5,5,4,3,1,1
1461.0,4,4,3,5,5,4,3,1,1
1463.0,8,3,5,4,0,0,3,1,1
1468.0,8,3,5,4,0,1,3,1,1
1472.0,6,8,1,1,3,0,1,0,1
1539.0,6,8,1,1,3,0,1,0,1
1578.0,4,4,3,5,5,4,3,1,1
1583.0,0,0,1,1,3,0,1,0,1
1587.0,6,8,1,1,3,0,1,0,1
1588.0,2,2,2,3,3,0,1,0,1
1589.0,1,1,0,0,4,2,2,1,1
1590.0,0,8,1,1,3,0,1,0,1
1592.0,1,1,0,0,4,2,2,1,1
1598.0,0,1,7,2,3,0,1,1,1
1747.0,6,8,1,1,3,0,1,0,1
1752.0,1,1,0,0,3,0,1,0,1
1755.0,1,1,0,0,3,2,2,1,1
1788.0,1,1,0,0,4,2,2,1,1
1858.0,0,0,7,2,3,0,1,0,1
1953.0,2,2,2,3,2,3,0,2,1
1963.0,4,4,3,5,5,4,3,1,1
